,title,links,size,language
0,Summa Theologica,https://download.library.lol/main/358000/a4050540fb4e90b5091c432cec5bd0a6/Aquinas%20St.%20Thomas%20-%20Summa%20Theologica-Christian%20Classics%20%281981%29.pdf,18 Mb,English
1,Summa Theologica,https://download.library.lol/main/449000/f491f93bc7900db25bfbf6a6f2894833/Thomas%20Aquinas%20-%20Nature%20and%20Grace_%20Selections%20from%20the%20Summa%20Theologica%20of%20Thomas%20Aquinas%20%282006%29.pdf,6 Mb,English
2,Summa Theologica,https://download.library.lol/main/2235000/e62496bf56eaef52629ad9acf7c46b02/St%20Thomas%20Aquinas%20-%20The%20Summa%20Theologica_%20Complete%20Edition-Catholic%20Way%20Publishing%20%282014%29.epub,10 Mb,English
3,Summa Theologica,https://download.library.lol/main/2375000/a65f583110014a404cc11a3b0396e401/Thomas%20Aquinas%20%5BAquinas%2C%20Thomas%5D%20-%20Catechism%20of%20the%20Summa%20Theologica-Catholic%20%20%E2%80%A0%20%20Books%20%282016%29.epub,419 Kb,English
4,Summa Theologica,https://download.library.lol/main/2442000/992c5efa94736c241c2efa400e778f44/Thomas%20Aquinas%20-%20The%20%E2%80%9CSumma%20Theologica%E2%80%9D%20of%20St.%20Thomas%20Aquinas%2C%20in%2022%20vols%2C%201911-1925.%20Transl.%20by%20Fathers%20of%20the%20English%20Dominican%20Province.%20Vols%20I-XI%20of%20XXII.%20I-XI%20of%20XXII-Burns%20Oates%20%26%20Washbourne%20LTD.zip,273 Mb,English
5,Summa Theologica,https://download.library.lol/main/2443000/69411f076a8dbdb1b04b8fa630b8ab5f/Thomas%20Aquinas%20-%20The%20%E2%80%9CSumma%20Theologica%E2%80%9D%20of%20St.%20Thomas%20Aquinas%2C%20in%2022%20vols%2C%201911-1925.%20Transl.%20by%20Fathers%20of%20the%20English%20Dominican%20Province.%20Vols%20XII-XXII%20of%20XXII.%20XII-XXII%20of%20XXII-Burns%20Oates%20%26%20Washbo.zip,246 Mb,English
6,Summa Theologica,https://download.library.lol/main/2605000/f9d24f4a91652dcb32dbc9ed7ae16e77/Kreeft%2C%20Peter%20-%20A%20summa%20of%20the%20%27%27summa%27%27_%20the%20essential%20philosophical%20passages%20of%20St.%20Thomas%20Aquinas%27%20%27%27Summa%20Theologica%27%27%20edited%20and%20explained%20for%20beginners-Ignatius%20Press%20%281990_2011%29.mobi,1 Mb,English
7,Summa Theologica,https://download.library.lol/main/3056000/eb37baac2f02052ba981249613a9f74c/R%C3%A9ginald%20Garrigou-Lagrange%20-%20Grace_%20Commentary%20on%20the%20Summa%20theologica%20of%20St.%20Thomas%2C%20Ia%20IIae%2C%20q.%20109-14%20%282010%29.pdf,9 Mb,English
8,Summa Theologica,https://download.library.lol/main/3056000/b4b04f616dac746346fa806984669786/R%C3%A9ginald%20Garrigou-Lagrange%20-%20Christ%20the%20Savior_%20A%20Study%20of%20the%20Third%20Part%20of%20the%20Summa%20Theologica%20of%20St.%20Thomas%20Aquinas%20%282011%29.pdf,9 Mb,English
9,Summa contra Gentiles,https://download.library.lol/main/208000/8b0ff52335150d7c7b1da8026ca47d84/Norman%20Kretzmann%20-%20The%20Metaphysics%20of%20Theism_%20Aquinas%27s%20Natural%20Theology%20in%20Summa%20Contra%20Gentiles.%201-Oxford%20University%20Press%2C%20USA%20%281997%29.pdf,2 Mb,English
10,Summa contra Gentiles,https://download.library.lol/main/390000/20e5933736187f8d88deba65cfac9250/Norman%20Kretzmann%20-%20The%20Metaphysics%20of%20Theism_%20Aquinas%27s%20Natural%20Theology%20in%20Summa%20Contra%20Gentiles%20I%20Vol%201-Oxford%20University%20Press%2C%20USA%20%282002%29.pdf,1 Mb,English
11,Summa contra Gentiles,https://download.library.lol/main/419000/703a521e6acddba1966cd8d2acd3cfdb/Norman%20Kretzmann%20-%20The%20Metaphysics%20of%20Creation_%20Aquinas%27s%20Natural%20Theology%20in%20Summa%20Contra%20Gentiles%20II%20%281999%29.pdf,2 Mb,English
12,Summa contra Gentiles,https://download.library.lol/main/1541000/2d63473c894f51ee679aaf64530eccbd/Brian%20Davies%20-%20Thomas%20Aquinas%E2%80%99s%20Summa%20Contra%20Gentiles_%20A%20Guide%20and%20Commentary-Oxford%20University%20Press%20%282016%29.pdf,5 Mb,English
13,Summa contra Gentiles,https://download.library.lol/main/3061000/10770ba6139a7085f7acd11e842eace6/Brian%20Davies%20-%20Thomas%20Aquinas%E2%80%99s%20Summa%20Contra%20Gentiles_%20A%20Guide%20and%20Commentary-Oxford%20University%20Press%2C%20USA%20%282016%29.epub,678 Kb,English
14,Summa contra Gentiles,https://download.library.lol/main/4179000/42b639a621df4791d976970dbdd192cd/Thomas%20S.%20Hibbs%20-%20Dialectic%20and%20Narrative%20in%20Aquinas_%20An%20Interpretation%20of%20the%20Summa%20Contra%20Gentiles%20%28Revisions_%20a%20Series%20of%20Books%20on%20Ethics%29-University%20of%20Notre%20Dame%20Press%20%281995%29.pdf,2 Mb,English
15,Summa contra Gentiles,https://download.library.lol/main/4180000/8fb1b6f290c13b60aa1f4a251dfc5456/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles%2C%204_%20Book%20Four_%20Salvation-University%20of%20Notre%20Dame%20Pess%20%281975%29.epub,404 Kb,English
16,Summa contra Gentiles,https://download.library.lol/main/4180000/826b5e03c327434b9c88c0b0854adfa4/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles%2C%203_2_%20Book%203_%20Providence%2C%20Part%20II-University%20of%20Notre%20Dame%20Pess%20%281975%29.epub,325 Kb,English
17,Summa contra Gentiles,https://download.library.lol/main/4180000/7a8ab7a77de07fdef21f9fe478e1de87/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%203_%20Providence%20Part%20I-University%20of%20Notre%20Dame%20Pess%20%281975%29.epub,394 Kb,English
18,Summa contra Gentiles,https://download.library.lol/main/4180000/ab18405de6cd2820cdfa5881037892c8/Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20One%2CGod-University%20of%20Notre%20Dame%20Press%20%281975%29.epub,2 Mb,English
19,Summa contra Gentiles,https://download.library.lol/main/4180000/3ad6ecad6f6678b147a6c86fb5777823/Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20One%2CGod-University%20of%20Notre%20Dame%20Press%20%281975%29.pdf,19 Mb,English
20,Summa contra Gentiles,https://download.library.lol/main/4180000/fb81325d1d5840982132aed1de17d75f/Saint%20Thomas%20Aquinas%2C%20Charles%20J.%20O%27Neil%20-%20Summa%20Contra%20Gentiles_%20Volumes%201-4%20in%20Five%20Books-Univ%20of%20Notre%20Dame%20Pr%20%281976%29.pdf,6 Mb,English
21,Summa contra Gentiles,https://download.library.lol/main/4181000/d9289a1ab482fcfe93549129cb202443/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20Two_%20Creation-University%20of%20Notre%20Dame%20Press%20%281976%29.epub,2 Mb,English
22,Summa contra Gentiles,https://download.library.lol/main/4181000/71831d882f1e061c668fc6e4080b730d/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20Two_%20Creation-University%20of%20Notre%20Dame%20Press%20%281976%29.pdf,28 Mb,English
23,Summa contra Gentiles,https://download.library.lol/main/4181000/eb8414f983023f156030b0f728dd017f/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20Three_%20Providence_%20Part%20II-University%20of%20Notre%20Dame%20Press%20%281975%29.pdf,8 Mb,English
24,Summa contra Gentiles,https://download.library.lol/main/4181000/e451c05e6b3b4ff1f617140fc0361ba5/Saint%20Thomas%20%28Aquinas%29_%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%204_%20Salvation%20%281975%29.pdf,8 Mb,English
25,Institutes of the Christian Religion,https://download.library.lol/main/659000/1eb5c69b57d074c1dc35807382d01e42/John%20Calvin%20-%20Calvin_%20Institutes%20of%20the%20Christian%20Religion%2C%20Volume%201.%201-Westminster%20John%20Knox%20Press%20%281960%29.pdf,17 Mb,English
26,Institutes of the Christian Religion,https://download.library.lol/main/729000/1b5856f365185ea1e3cd8e67afba0824/John%20Calvin%2C%20John%20T.%20McNeill%2C%20Ford%20Lewis%20Battles%20-%20Institutes%20of%20the%20Christian%20Religion%2C%20Volume%202%20%20-Westminster%20John%20Knox%20Press%20%281960%29.pdf,16 Mb,English
27,Institutes of the Christian Religion,https://download.library.lol/main/2377000/761928fe132de584f80ee58889a4b623/John%20Calvin_%20John%20Thomas%20McNeill_%20Ford%20Lewis%20Battles%20-%20Institutes%20of%20the%20Christian%20Religion%2C%202%20Vols-Westminster_John%20Knox%20Press%20%28Philadelphia%29%20%282016%29.pdf,17 Mb,English
28,Institutes of the Christian Religion,https://download.library.lol/main/2690000/ee3425d3b2669674bea6cb1ca990b52e/Calvin%2C%20John%20-%20Institutes%20of%20the%20Christian%20Religion-Signalman%20Publishing%20%282008%29.mobi,2 Mb,English
29,Institutes of the Christian Religion,https://download.library.lol/main/3579000/cfac1a586c09965a15bfb63fa10a6ea4/John%20Calvin%20-%20Institutes%20of%20the%20Christian%20Religion_%20The%20Basics%20of%20Protestant%20Theology-e-artnow%20%282021%29.epub,3 Mb,English
30,Institutes of the Christian Religion,https://download.library.lol/main/4161000/f770c76742e548db09b449afab4f6580/Jean%20Calvin%2C%20John%20T.%20McNeill%20%28editor%29%20-%20Calvin_%20Institutes%20of%20the%20Christian%20Religion%20%282%20Volume%20Set%29-Westminster%20Press%20%281960%29.epub,18 Mb,English
31,Institutes of the Christian Religion,https://download.library.lol/main/4248000/730dacbdb880ce7123d79961d6b742cb/John%20T.%20McNeill%20%28editor%29%20-%20Calvin_%20Institutes%20of%20the%20Christian%20Religion%20%282%20volume%20set%29-Westminster_John%20Knox%20Press%20%281960%29.pdf,269 Mb,English
32,Institutes of the Christian Religion,https://download.library.lol/main/4337000/b6b69c126897ff9b14767554ec3df0d1/John%20Calvin%2C%20Henry%20Beveridge%20%28translator%29%20-%20The%20Institutes%20of%20Christian%20Religion%20%282017%29.pdf,11 Mb,English
33,Systematic Theology,https://download.library.lol/main/327000/32f71b8bb724f7e8c8432f961e71ea39/J.%20Rodman%20Williams%20-%20Renewal%20Theology_%20God%2C%20the%20World%20and%20Redemption%20_%20Systematic%20Theology%20from%20a%20Charismatic%20Perspective-Zondervan%20%281988%29.pdf,29 Mb,English
34,Systematic Theology,https://download.library.lol/main/327000/7fb99bdabeb08521974f9a745cdc049c/Wayne%20Grudem%20-%20Systematic%20Theology_%20An%20Introduction%20to%20Biblical%20Doctrine-Ivp%20%281994%29.pdf,6 Mb,English
35,Systematic Theology,https://download.library.lol/main/344000/9eb750538a2828d152da98bd7b37b532/Lewis%20Sperry%20Chafer%20-%20Systematic%20Theology%20-Kregel%20Academic%20%26%20Professional%20%281993%29.pdf,2 Mb,English
36,Systematic Theology,https://download.library.lol/main/405000/81af5b16872d18ad4bf453114351b65c/Benjamin%20J.%20King%20-%20Newman%20and%20the%20Alexandrian%20Fathers_%20Shaping%20Doctrine%20in%20Nineteenth-Century%20England%20%28Changing%20Paradigms%20in%20Historical%20and%20Systematic%20Theology%29%20%282009%29.pdf,1010 Kb,English
37,Systematic Theology,https://download.library.lol/main/417000/72bb444ac59f1ae2fcaa81ea3646cb6c/Keith%20L.%20Johnson%20-%20Karl%20Barth%20and%20the%20Analogia%20Entis%20%28T%26T%20Clark%20Studies%20in%20Systematic%20Theology%29%20%282010%29.pdf,1 Mb,English
38,Systematic Theology,https://download.library.lol/main/438000/59031a2e4f7c7eefb9c8939a070b77eb/John%20D.%20Dadosky%20-%20Meaning%20and%20History%20in%20Systematic%20Theology_%20Essays%20in%20Honor%20of%20Robert%20M.%20Doran%2C%20Sj%20%282009%29.pdf,2 Mb,English
39,Systematic Theology,https://download.library.lol/main/448000/f6a607a5a384d3cf3486d273d91dcd89/Huang%20-%20Confronting%20Confucian%20Understandings%20of%20the%20Christian%20Doctrine%20of%20Salvation%20%28Studies%20in%20Systematic%20Theology%29%20%282009%29.pdf,1 Mb,English
40,Systematic Theology,https://download.library.lol/main/480000/ce12e28a0c093a3f03a21f7ea1fcaff2/Kenneth%20Surin%20-%20The%20Turnings%20of%20Darkness%20and%20Light_%20Essays%20in%20Philosophical%20and%20Systematic%20Theology%20%281989%29.pdf,9 Mb,English
