,title,links,size,language
0,Bible liturgique,https://download.library.lol/main/4246000/7badb6a3f6a0afd6fe9e0878d10571ab/%20-%20La%20Bible%20%E2%80%93%20traduction%20officielle%20liturgique%20%28Bible%20officielle%29-Mame%20%282013%29.epub,5 Mb,French
1,Bible de Jérusalem,https://download.library.lol/main/1202000/4446de833741b62aafd0c2fb1ff582cf/%20-%20Bible%20de%20Jerusalem%201998%20-%20Nouveau%20Testament%20%28scan%29.pdf,113 Mb,French
2,Bible de Jérusalem,https://download.library.lol/main/1202000/8df5cbb5b4c3e3112fb342dd7c907412/%20-%20Bible%20de%20Jerusalem%201998%20-%20Ancien%20Testament%20-%201%20sur%202.pdf,173 Mb,French
3,Bible de Jérusalem,https://download.library.lol/main/1202000/dbaf8b90f9fbaf6b63529fe265b1640a/%20-%20Bible%20de%20Jerusalem%201998%20-%20Ancien%20Testament%20-%202%20sur%202.pdf,151 Mb,French
4,Bible de Jérusalem,https://download.library.lol/main/1878000/576fc345d79e5e2daa41a92df4b70515/%20-%20Bible%20de%20J%C3%A9rusalem%20_%20%D0%98%D0%B5%D1%80%D1%83%D1%81%D0%B0%D0%BB%D0%B8%D0%BC%D1%81%D0%BA%D0%B0%D1%8F%20%D0%91%D0%B8%D0%B1%D0%BB%D0%B8%D1%8F.pdf,8 Mb,French
5,Bible de Jérusalem,https://download.library.lol/main/4043000/e9bcd21b87b75991b5d338bba9cebd54/Emile%20Jalley%20-%20L%27histoire%20de%20la%20Bible%20et%20la%20philosophie_%20J%C3%A9rusalem%2C%20Ath%C3%A8nes%2C%20Rome%20%28French%20Edition%29.epub,2 Mb,French
6,Bible de Jérusalem,https://download.library.lol/main/4043000/3f412dec35a0da6cad01604a8226278d/%20-%20L%27histoire%20de%20la%20Bible%20et%20la%20philosophie_%20J%C3%A9rusalem%2C%20Ath%C3%A8nes%2C%20Rome%20%28French%20Edition%29.pdf,1 Mb,French
7,Bible de Jérusalem,https://download.library.lol/main/4178000/0db15ad7c74b95dee7f0baff4e95a96c/Domonguil%C3%A9%20Evelyne%20Sylvie%20Som%C3%A9%20-%20Analyse%20isotopique%20d%27un%20texte%20sacr%C3%A9_%20Le%20Cantique%20des%20Cantiques%2C%20extrait%20de%20la%20Bible%20de%20J%C3%A9rusalem%20%28French%20Edition%29-Editions%20L%27Harmattan%20%282018%29.pdf,3 Mb,French
8,TOB,https://download.library.lol/main/2352000/497344d2d417af0af870bc22339f158d/Collectif%20-%20La%20Bible%20-%20Traduction%20Oecum%C3%A9nique%20%28TOB%29%20-%20Notes%20Int%C3%A9grales-Bibli%E2%80%99O-Soci%C3%A9t%C3%A9%20biblique%20fran%C3%A7aise%2C%20Les%20%C3%89d.%20du%20Cerf%20%282010%29.pdf,159 Mb,French
9,Bible en français courant,https://download.library.lol/main/2536000/f6a2ae882f6127f04bd641862cd940e2/Collectif%20-%20La%20Bible%20en%20fran%C3%A7ais%20courant%20avec%20notes%2C%20avec%20les%20livres%20deut%C3%A9rocanoniques-Bibli%E2%80%99O%20%281996%29.epub,5 Mb,French
10,Bible Darby,https://download.library.lol/main/1961000/6ae90aaa435d5a9e2dc771cad0b6944f/%20-%20Bible.%20Holy%20Bible.%20Darby%20Translation%20%28DARBY%29.pdf,7 Mb,English
11,Bible Darby,https://download.library.lol/main/4113000/9cc7728523899a56b327265506bda786/God_%20trans.%20Anonymous%20-%20The%20Holy%20Bible_%20French%20Darby%20Translation.pdf,5 Mb,French
12,Bible Darby,https://download.library.lol/main/4226000/2ba89b7665c9e67cac31a60f312a2a0a/Darby%20John%20Nelson%20-%20La%20saint%20Bible%20de%20Darby-Collectif%20Catholique%20%281859%29.epub,1 Mb,French
13,Bible Semeur,https://download.library.lol/main/1962000/77994a2670995081798d5eddef31db12/%20-%20Bible.%20Bible%20du%20Semeur.rar,3 Mb,French
14,Dogmatique,https://download.library.lol/main/2175000/9018d6a5eda750493c4edda04123967c/Vladimir%20Lossky%20-%20Theologie%20dogmatique-Cerf%20%282012%29.pdf,13 Mb,French
15,La doctrine du Christ,https://download.library.lol/main/4318000/1111205abe91dcf703e4d4d345ada260/Joseph%20Anger%20-%20La%20doctrine%20du%20corps%20mystique%20de%20Jesus%20Christ%20d%27apr%C3%A8s%20les%20principes%20de%20la%20th%C3%A9ologie%20de%20Saint%20Thomas-Gabriel%20Beauchesne%20%281929%29.pdf,19 Mb,French
16,Les Pères Apostoliques,https://download.library.lol/main/2170000/e2aff54130faa23258b4b28c9bf3a7b5/Collectif%20-%20Les%20p%C3%A8res%20apostoliques-Cerf%20%281990%29.pdf,34 Mb,French
17,Les Pères Apostoliques,https://download.library.lol/main/4331000/95a5fcd53c45155d8f7db87899e31428/Elefth%C3%A9rios%20Anyfantakis%20-%20La%20th%C3%A9ologie%20de%20l%E2%80%99unit%C3%A9%20chez%20les%20P%C3%A8res%20apostoliques_%20Cl%C3%A9ment%20de%20Rome%2C%20Ignace%20d%E2%80%99Antioche%2C%20Pasteur%20d%E2%80%99Hermas-L%27Harmattan%20%282023%29.epub,3 Mb,French
18,Les Pères Apostoliques,https://download.library.lol/main/4331000/6acce2a9621fec8c9d874a7744bf9221/Elefth%C3%A9rios%20Anyfantakis%20-%20La%20th%C3%A9ologie%20de%20l%E2%80%99unit%C3%A9%20chez%20les%20P%C3%A8res%20apostoliques_%20Cl%C3%A9ment%20de%20Rome%2C%20Ignace%20d%E2%80%99Antioche%2C%20Pasteur%20d%E2%80%99Hermas-L%27Harmattan%20%282023%29.pdf,5 Mb,French
19,Histoire Ecclésiastique ,https://download.library.lol/main/632000/858ec482a7c6176edc0ef983320bb0e5/Basil%20Louri%C3%A9%2C%20Andrei%20Orlov%20-%20The%20Theophaneia%20School%20%28Scrinium_%20Revue%20De%20Patrologie%2C%20D%27hagiographie%20Critique%20Et%20D%27histoire%20Eccl%C3%A9siastique%29-Gorgias%20Press%20%282009%29.pdf,9 Mb,English
