LEGENDE : ,Unnamed: 1
Ce qui apparaît en noir = les ouvrages proposés par David ,
Ce qui apparaît en violet = les ouvrages proposés à la fois par Eric et par David ,
Ce qui apparaît en vert = les ouvrages proposés par Eric et validés par David,
Ce qui apparaît en orange = les ouvrages proposés par Eric et que David connaît moins/peu (cf. Commentaires),
,
,
Bible,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Bible liturgique,
Bible de Jérusalem,
TOB,
Bible en français courant,
Bible Parole de Vie,
Bible Segond 1910,
Bible Segond 21,
Bible Darby,
Bible Semeur,
,
,
Théologie Systématique ,
"Intérêt(s) : Matière essentielle pour saisir l'harmonie et la cohérence des enseignements de la Bible, et donc pour connaître et transmettre les vérités bibliques. La doctrine est vitale pour la croissance, la piété et ne peut être séparée de l'éthique. ",
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Summa Theologica (Somme Théologique),Summa Theologica
Summa contra Gentiles (Somme contre les gentils) ,Summa contra Gentiles
Institution de la Religion Chrétienne (IRC),Institutes of the Christian Religion
,Systematic Theology
,Reformed Dogmatics
,Systematic Theology
Dogmatique,Church Dogmatics
Théologie Systématique ,Systematic Theology
,Bible Doctrine: Essential Teachings of the Christian Faith
,Biblical Foundations for Manhood and Womanhood
,The Christian Faith: A Systematic Theology for Pilgrims on the Way
,Christian Theology: An Introduction
,Systematic Theology: An Introduction to Christian Belief
,Theology for the Community of God
,Christian Theology 
Introduction à la théologie évangélique,Introducing Evangelical Theology
La personne du Christ,The Person of Christ
La doctrine du Christ,
La doctrine du péché et de la rédemption,
La doctrine de l'Eglise et des sacrements,
L'espérance chrétienne,
La grâce (étonnante) de Dieu ,
La foi chrétienne hier et aujourd'hui,
,
,
Confession de foi / Catéchisme,
Intérêt(s) : Permet d'instruire et d'affirmer ce que nous croyons en tant que chrétiens et de réfuter les idéologies et raisonnements erronés ,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Symbole des Apôtres,The Apostles' Creed
Symbole d'Athanase (Quicumque),The Athanasian Creed
Symbole de Nicée/Constantinople,The Nicene-Constantinopolitan Creed
Symbole de Chalcédoine,The Chalcedonian Creed
Petit Catéchisme de Luther,Luther's Small Catechism 
Confession de Foi d'Augsbourg ,The Augsburg Confession
Catéchisme de Heidelberg,The Heidelberg Catechism
Confession de Foi de la Rochelle,The French Confession of Faith
Confessio Belgica,Confessio Belgica
Canons de Dordrecht,Canons of Dort
Confession de Foi de Westminster,The Westminster Confession of Faith
Petit Catéchisme de Westminster,Westminster Shorter Catechism
Grand Catéchisme de Westminter,Westminster Larger Catechism
Confession de Foi baptiste de Londres,The 1689 Baptist Confession of Faith
Catéchisme de l'Eglise Catholique,Catechism of the Catholic Church
Nouveau Catéchisme pour la cité,The New City Catechism 
,
,
Histoire de l'Eglise,
Intérêt(s) : Prendre conscience et bénéficier de la richesse de la pensée chrétienne à travers les siècles ,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Les Pères Apostoliques,The Apostolic Fathers
Histoire Ecclésiastique ,The History of the Church
L'Eglise des premiers temps : des origines à la fin du IIIème siècle,
La vie de saint Augustin,Augustine of Hippo : A Biography
La Cité de Dieu,The City of God
Les Confessions,The Confessions
De la Trinité (De Trinitate),The Trinity (De Trinitate)
Les Pères de l'Eglise : de Clément de Rome à saint Augustin,Church Fathers: From Clement of Rome to Augustine
Quand notre monde est devenu chrétien,When Our World Became Christian
Le livre des martyrs de John Foxe,Foxe's Book of Martyrs
,Christianity: The First Three Thousand Years
,The Early Church
,History of the Reformation
,History of the Christian Church
,"The Rise of Evangelicalism: The Age of Edwards, Whitefield and the Wesleys"
,Turning Points: Decisive Moments in the History of Christianity
,Reformation Thought: An Introduction
,Christian History: An Introduction
,A History of Christianity
,Letters to a Young Calvinist: An Invitation to the Reformed Tradition
,The Unquenchable Flame: Discovering the Heart of the Reformation
,Calvin
,Reformation England 1480-1642
,The Christian Tradition: A History of the Development of Doctrine (Vol. 1-5)
,The Story of Christianity (Vol. 1 & 2)
,Here I Stand: A Life of Martin Luther
,The Reformation of the Sixteenth Century
,Creeds of the Churches
,The Reformation
,Luther: Man Between God and the Devil
,The Age of Reform (1250-1550)
,Christianity through the Centuries
,Theology of the Reformers
,
,
Commentaire biblique,
"Intérêt(s) : Permet de comprendre, expliquer et approfondir les textes de l'Ancien et du Nouveau Testament",
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Révélation des origines,In the Beginning : The Opening Chapters of Genesis
Comprendre Genèse 1-11 aujourd'hui,
Genèse 1 à 11 — Commentaire biblique,
Exode pour toi,Exodus for You
Josué — la conquête de la terre promise,
Juges pour toi,Judges for You
Job : le malheur et la foi,
Pour apprendre à vivre la vie telle qu'elle est,
La raison d'être — Méditation sur l'Ecclésiaste,Reason for Being — A Meditation on Ecclesiastes
,The prophecy of Isaiah 
Le message d'Esaïe,The message of Isaiah 
Le message de Jérémie,The message of Jeremiah 
Le destin des nations — Une étude littéraire du livre de Daniel,
Les grands points des petits prophètes,Major Points from the Minor Prophets
"Les livres des prophètes — Introduction à Abdias, Joël, Amos, Osée, Michée",
Comprendre Matthieu 1-13 aujourd'hui,
Comprendre Matthieu 14-28 aujourd'hui,
Matthieu 5-7 : le Sermon sur la montagne,The message of the Sermount of the Mount
L'Evangile selon saint Luc,
L'Evangile selon saint Jean,
Les Actes des Apôtres,
Lettre de saint Paul aux Romains — Clés de lecture,
Romains 5-8 : Des hommes nouveaux,Men Made New : An Exposition of Romans 5-8
Galates ou l'évangile en crise,
Ephésiens — Commentaire pratique du Nouveau Testament,
Comprendre Colossiens aujourd'hui,
Hébreux — Commentaire biblique,
Apocalypse : Plus que vainqueurs,More than Conquerors : Revelation
Commentaire sur l'Apocalypse de Jean,
L'apocalypse de saint Jean,
,"Revelation : Four Views, A Parallel Commentary"
L'apocalypse de Jean — Une lecture thématique,Reading Revelation — A Thematic Approach
Commentaire Evangélique de la Bible (CEB),
Collection mon ABC de la Bible,
,The New International Commentary on the Old Testament (NICOT)
,The New International Commentary on the New Testament (NICNT)
Commentaires de Jean Calvin sur le Nouveau Testament,Commentaries on the New Testament
Commentaires de John MacArthur du Nouveau Testament,The MacArthur New Testament Commentary (34 volumes)
,Commentary on the Whole Bible (6 volumes)
,The Daily Study Bible Series (17 volumes)
,The Expositor's Bible Commentary (12 volumes)
,Boice’s Expositional Commentaries (27 vols.)
,Thru the Bible: Genesis through Revelation
,Barnes' Notes on the Bible
,A Commentary on the Holy Bible
,
,
Ethique,
Intérêt(s) : Savoir comment agir et comment se conduire dans des situations et un monde complexes,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
L'éthique et l'Ancien Testament,Old Testament Ethics for the People of God
Vivre en chrétien aujourd'hui — Repères éthiques pour tous,
Les 4 sens de la nature — De l'émerveillement à l'espérance,
La Bible et l'écologie,
"Loué sois-tu, Laudato si — L'encyclique sur l'écologie",
Pour une vie juste et généreuse,Generous Justice
Dieu et le débat transgenre : Que dit vraiment la Bible sur l'identité de genre ? ,What Does the Bible Actually Say About Gender Identity?
Dieu est-il homophobe ? ,Is God Anti-Gay?
